"filename", "language", "Markdown", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/@theme_index.js", "JavaScript", 0, 0, 236, 0, 12, 12, 260
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/_metadata.json", "JSON", 0, 58, 0, 0, 0, 0, 58
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/chunk-7LUTEMNG.js", "JavaScript", 0, 0, 9236, 0, 25, 5, 9266
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/chunk-PAUCAATC.js", "JavaScript", 0, 0, 11260, 0, 215, 8, 11483
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/package.json", "JSON", 0, 3, 0, 0, 0, 1, 4
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___@vue_devtools-api.js", "JavaScript", 0, 0, 4199, 0, 144, 5, 4348
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___@vueuse_core.js", "JavaScript", 0, 0, 566, 0, 1, 1, 568
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___@vueuse_integrations_useFocusTrap.js", "JavaScript", 0, 0, 1021, 0, 77, 4, 1102
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___mark__js_src_vanilla__js.js", "JavaScript", 0, 0, 882, 0, 781, 3, 1666
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___minisearch.js", "JavaScript", 0, 0, 1080, 0, 757, 1, 1838
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vue.js", "JavaScript", 0, 0, 322, 0, 1, 1, 324
"/Users/guanyueming/Desktop/github/doc/docs/.vitepress/config.mts", "TypeScript", 0, 0, 0, 45, 2, 4, 51
"/Users/guanyueming/Desktop/github/doc/docs/api-examples.md", "Markdown", 32, 0, 0, 0, 0, 18, 50
"/Users/guanyueming/Desktop/github/doc/docs/index.md", "Markdown", 25, 0, 0, 0, 0, 4, 29
"/Users/guanyueming/Desktop/github/doc/docs/juejin/速度优化.md", "Markdown", 44, 0, 0, 0, 0, 16, 60
"/Users/guanyueming/Desktop/github/doc/docs/markdown-examples.md", "Markdown", 63, 0, 0, 0, 0, 23, 86
"/Users/guanyueming/Desktop/github/doc/docs/vue/404.md", "Markdown", 119, 0, 0, 0, 0, 41, 160
